OID,ident,lat,lon,id,alt,heading,time,sidc_2525d
-1,101,38.372,-110.704,Target01,1,0,7/11/2016 1:41:00,10062000001205000000
-1,101,39.607433,-116.002667,Target04,1,0,7/11/2016 1:41:00,10062000001213000000
-1,101,39.19226667,-119.7344,Target05,1,0,7/11/2016 1:41:00,10062000001213000000
-1,101,33.8231,-116.5065,Target06,1,0,7/11/2016 1:41:00,10062000001213000000
-1,101,37.8911,-110.370383,Target02,1,0,7/11/2016 1:41:00,10061500001301000000
-1,101,40.3722,-115.703583,Target07,1,0,7/11/2016 1:41:00,10061000001301000000
-1,101,35.475983,-114.5552,Target09,1,0,7/11/2016 1:41:00,10061000001301000000
-1,101,34.95418333,-114.9049833,Target10,1,0,7/11/2016 1:41:00,10061000001301000000
-1,101,40.0386,-115.2887167,Target08,1,0,7/11/2016 1:41:00,10061000001301000000
-1,101,36.016167,-114.737133,Target03,1,0,7/11/2016 1:41:00,10062000001214000000
-1,101,36.587216,-121.844978,Mission10,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission02,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission05,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission09,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission08,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission06,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission01,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission07,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission03,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,101,36.587216,-121.844978,Mission04,0.5,0,7/11/2016 1:41:00,10030100001101000000
-1,102,38.372,-110.704,Target01,1,0,7/11/2016 1:42:00,10062000001205000000
-1,102,39.607433,-116.002667,Target04,1,0,7/11/2016 1:42:00,10062000001213000000
-1,102,39.19226667,-119.7344,Target05,1,0,7/11/2016 1:42:00,10062000001213000000
-1,102,33.8231,-116.5065,Target06,1,0,7/11/2016 1:42:00,10062000001213000000
-1,102,40.0386,-115.2887167,Target08,1,0,7/11/2016 1:42:00,10061000001301000000
-1,102,35.475983,-114.5552,Target09,1,0,7/11/2016 1:42:00,10061000001301000000
-1,102,34.95418333,-114.9049833,Target10,1,0,7/11/2016 1:42:00,10061000001301000000
-1,102,40.3722,-115.703583,Target07,1,0,7/11/2016 1:42:00,10061000001301000000
-1,102,36.016167,-114.737133,Target03,1,0,7/11/2016 1:42:00,10062000001214000000
-1,102,37.8911,-110.370383,Target02,1,0,7/11/2016 1:42:00,10061500001301000000
-1,102,36.587216,-121.844978,Mission05,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission08,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission01,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission06,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission10,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission03,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.58721615,-121.844978,Mission04,1000,37,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission09,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission02,0.5,0,7/11/2016 1:42:00,10030100001101000000
-1,102,36.587216,-121.844978,Mission07,0.5,0,7/11/2016 1:42:00,10030100001101000000
